     month,   cmdur_m,   cmdur_d,  cmdury_m,  cmdury_d,  cmdurp_m,  cmdurp_d,    mdur_m,    mdur_d,   mdury_m,   mdury_d,   mdurp_m,   mdurp_d,badcmdur_m,badcmdur_d, badmdur_m, badmdur_d, gdcmdur_m, gdcmdur_d,  gdmdur_m,  gdmdur_d,badnspel_m,badnspel_d, gdnspel_m, gdnspel_d,badcm_lb_d,badcm_ub_d, gdcm_lb_d, gdcm_ub_d,    surv_m,    surv_d,   survy_m,   survy_d,   survp_m,   survp_d,  stsurv_m,  stsurv_d, stsurvy_m, stsurvy_d, stsurvp_m, stsurvp_d,  mvsurv_m,  mvsurv_d, mvsurvy_m, mvsurvy_d, mvsurvp_m, mvsurvp_d,     haz_m,     haz_d,    hazy_m,    hazy_d,    hazp_m,    hazp_d,   sthaz_m,   sthaz_d,  sthazy_m,  sthazy_d,  sthazp_m,  sthazp_d,   mvhaz_m,   mvhaz_d,  mvhazy_m,  mvhazy_d,  mvhazp_m,  mvhazp_d,sepallyr_m,sepallyr_d,seprhire_m,seprhire_d,     -----,
         1,    0.4202,    0.4446,    0.4937,    0.5256,    0.3858,    0.3972,    0.5232,    0.5316,    0.5840,    0.5958,    0.4946,    0.4941,    0.3845,    0.4329,    0.4938,    0.0000,    0.4724,    0.4593,    0.5661,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.2420,    1.0000,    0.3030,    1.0000,    0.2230,    0.2889,    0.2468,    0.3415,       NaN,    0.2713,       NaN,    0.2145,    0.2328,    0.2602,       NaN,    0.1902,       NaN,    0.0068,    0.0000,    0.0209,    0.0000,     -----,
         2,    0.4504,    0.4608,    0.5277,    0.5395,    0.4177,    0.4191,    0.5479,    0.5456,    0.6119,    0.6079,    0.5209,    0.5128,    0.4190,    0.4456,    0.5220,    0.0000,    0.5027,    0.4850,    0.5911,    0.0000,    0.7371,    1.0000,    0.6703,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.7628,    0.7580,    0.7131,    0.6970,    0.7832,    0.7770,    0.7200,    0.0000,    0.6624,    0.0000,    0.7387,    0.0000,    0.7977,    0.0000,    0.7473,    0.0000,    0.8233,    0.0000,    0.2372,    0.2216,    0.2869,    0.2712,    0.2168,    0.2111,    0.2653,    0.2411,    0.3167,       NaN,    0.2491,       NaN,    0.2121,    0.2104,    0.2587,       NaN,    0.1899,       NaN,    0.0134,    0.0000,    0.0908,    0.0000,     -----,
         3,    0.4715,    0.4711,    0.5515,    0.5300,    0.4408,    0.4401,    0.5652,    0.5542,    0.6311,    0.6007,    0.5398,    0.5298,    0.4452,    0.4582,    0.5435,    0.0000,    0.5212,    0.5077,    0.6061,    0.0000,    0.5562,    1.0000,    0.4691,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.5947,    0.5900,    0.5195,    0.5080,    0.6258,    0.6130,    0.5371,    0.0000,    0.4563,    0.0000,    0.5638,    0.0000,    0.6406,    0.0000,    0.5615,    0.0000,    0.6805,    0.0000,    0.2204,    0.2254,    0.2716,    0.2500,    0.2010,    0.2088,    0.2468,    0.2498,    0.2963,       NaN,    0.2330,       NaN,    0.2051,    0.2014,    0.2494,       NaN,    0.1857,       NaN,    0.0196,    0.0000,    0.1396,    0.0000,     -----,
         4,    0.4875,    0.4975,    0.5696,    0.5461,    0.4589,    0.4720,    0.5784,    0.5756,    0.6460,    0.6132,    0.5547,    0.5558,    0.4659,    0.4707,    0.5605,    0.0000,    0.5335,    0.5260,    0.6163,    0.0000,    0.4270,    1.0000,    0.3391,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.4733,    0.4570,    0.3874,    0.3810,    0.5088,    0.4850,    0.4121,    0.0000,    0.3245,    0.0000,    0.4410,    0.0000,    0.5209,    0.0000,    0.4287,    0.0000,    0.5673,    0.0000,    0.2041,    0.2188,    0.2543,    0.2493,    0.1869,    0.2186,    0.2327,    0.2036,    0.2779,       NaN,    0.2205,       NaN,    0.1984,    0.2272,    0.2391,       NaN,    0.1819,       NaN,    0.0253,    0.0000,    0.1771,    0.0000,     -----,
         5,    0.5005,    0.5109,    0.5842,    0.5740,    0.4733,    0.4804,    0.5890,    0.5861,    0.6578,    0.6351,    0.5666,    0.5625,    0.4829,    0.4833,    0.5743,    0.0000,    0.5422,    0.5421,    0.6232,    0.0000,    0.3322,    1.0000,    0.2517,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.3833,    0.3570,    0.2955,    0.2860,    0.4199,    0.3790,    0.3234,    0.0000,    0.2375,    0.0000,    0.3519,    0.0000,    0.4288,    0.0000,    0.3331,    0.0000,    0.4771,    0.0000,    0.1901,    0.1793,    0.2371,    0.2203,    0.1749,    0.1398,    0.2212,    0.2102,    0.2627,       NaN,    0.2107,       NaN,    0.1924,    0.1511,    0.2280,       NaN,    0.1789,       NaN,    0.0308,    0.0000,    0.2074,    0.0000,     -----,
         6,    0.5111,    0.5176,    0.5966,    0.5864,    0.4850,    0.4855,    0.5978,    0.5915,    0.6681,    0.6448,    0.5763,    0.5665,    0.4963,    0.4960,    0.5854,    0.0000,    0.5492,    0.5567,    0.6290,    0.0000,    0.2615,    1.0000,    0.1905,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.3154,    0.2930,    0.2303,    0.2230,    0.3509,    0.3260,    0.2586,    0.0000,    0.1781,    0.0000,    0.2855,    0.0000,    0.3573,    0.0000,    0.2638,    0.0000,    0.4045,    0.0000,    0.1773,    0.1570,    0.2205,    0.1300,    0.1643,    0.1718,    0.2138,    0.1787,    0.2513,       NaN,    0.2050,       NaN,    0.1890,    0.1377,    0.2214,       NaN,    0.1785,       NaN,    0.0360,    0.0000,    0.2329,    0.0000,     -----,
         7,    0.5200,    0.5227,    0.6072,    0.5905,    0.4947,    0.4927,    0.6052,    0.5960,    0.6767,    0.6485,    0.5842,    0.5724,    0.5076,    0.5090,    0.5949,    0.0000,    0.5546,    0.5692,    0.6333,    0.0000,    0.2071,    1.0000,    0.1462,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.2627,    0.2470,    0.1826,    0.1940,    0.2960,    0.2700,    0.2099,    0.0000,    0.1362,    0.0000,    0.2345,    0.0000,    0.3005,    0.0000,    0.2118,    0.0000,    0.3450,    0.0000,    0.1671,    0.1579,    0.2075,    0.1959,    0.1564,    0.1333,    0.2081,    0.1467,    0.2405,       NaN,    0.2013,       NaN,    0.1865,    0.1604,    0.2146,       NaN,    0.1763,       NaN,    0.0410,    0.0000,    0.2548,    0.0000,     -----,
         8,    0.5278,    0.5343,    0.6162,    0.6169,    0.5036,    0.4871,    0.6116,    0.6051,    0.6840,    0.6687,    0.5917,    0.5680,    0.5173,    0.5213,    0.6031,    0.0000,    0.5586,    0.5802,    0.6368,    0.0000,    0.1648,    1.0000,    0.1136,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.2213,    0.2080,    0.1471,    0.1560,    0.2522,    0.2340,    0.1726,    0.0000,    0.1062,    0.0000,    0.1947,    0.0000,    0.2551,    0.0000,    0.1725,    0.0000,    0.2967,    0.0000,    0.1576,    0.1442,    0.1941,    0.1859,    0.1479,    0.1325,    0.2055,    0.1735,    0.2341,       NaN,    0.1999,       NaN,    0.1868,    0.1201,    0.2108,       NaN,    0.1789,       NaN,    0.0459,    0.0000,    0.2742,    0.0000,     -----,
         9,    0.5344,    0.5465,    0.6238,    0.6177,    0.5111,    0.4993,    0.6171,    0.6153,    0.6905,    0.6690,    0.5980,    0.5786,    0.5251,    0.5312,    0.6096,    0.0000,    0.5624,    0.5901,    0.6399,    0.0000,    0.1314,    1.0000,    0.0887,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1881,    0.1780,    0.1202,    0.1270,    0.2165,    0.2030,    0.1435,    0.0000,    0.0840,    0.0000,    0.1631,    0.0000,    0.2180,    0.0000,    0.1423,    0.0000,    0.2563,    0.0000,    0.1499,    0.1348,    0.1833,    0.1417,    0.1418,    0.1429,    0.2059,    0.1178,    0.2331,       NaN,    0.2010,       NaN,    0.1889,    0.1474,    0.2086,       NaN,    0.1819,       NaN,    0.0506,    0.0000,    0.2913,    0.0000,     -----,
        10,    0.5406,    0.5561,    0.6315,    0.6308,    0.5178,    0.4986,    0.6221,    0.6223,    0.6971,    0.6790,    0.6036,    0.5773,    0.5321,    0.5366,    0.6151,    0.0000,    0.5657,    0.5970,    0.6426,    0.0000,    0.1047,    1.0000,    0.0697,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1612,    0.1540,    0.0992,    0.1090,    0.1871,    0.1740,    0.1202,    0.0000,    0.0671,    0.0000,    0.1378,    0.0000,    0.1876,    0.0000,    0.1186,    0.0000,    0.2227,    0.0000,    0.1432,    0.0974,    0.1741,    0.1284,    0.1358,    0.1034,    0.2095,    0.1001,    0.2376,       NaN,    0.2045,       NaN,    0.1933,    0.0940,    0.2116,       NaN,    0.1869,       NaN,    0.0551,    0.0000,    0.3070,    0.0000,     -----,
