     month,   cmdur_m,   cmdur_d,  cmdury_m,  cmdury_d,  cmdurp_m,  cmdurp_d,    mdur_m,    mdur_d,   mdury_m,   mdury_d,   mdurp_m,   mdurp_d,badcmdur_m,badcmdur_d, badmdur_m, badmdur_d, gdcmdur_m, gdcmdur_d,  gdmdur_m,  gdmdur_d,badnspel_m,badnspel_d, gdnspel_m, gdnspel_d,badcm_lb_d,badcm_ub_d, gdcm_lb_d, gdcm_ub_d,    surv_m,    surv_d,   survy_m,   survy_d,   survp_m,   survp_d,  stsurv_m,  stsurv_d, stsurvy_m, stsurvy_d, stsurvp_m, stsurvp_d,  mvsurv_m,  mvsurv_d, mvsurvy_m, mvsurvy_d, mvsurvp_m, mvsurvp_d,     haz_m,     haz_d,    hazy_m,    hazy_d,    hazp_m,    hazp_d,   sthaz_m,   sthaz_d,  sthazy_m,  sthazy_d,  sthazp_m,  sthazp_d,   mvhaz_m,   mvhaz_d,  mvhazy_m,  mvhazy_d,  mvhazp_m,  mvhazp_d,sepallyr_m,sepallyr_d,seprhire_m,seprhire_d,     -----,
         1,    0.4374,    0.4446,    0.5009,    0.5256,    0.4079,    0.3972,    0.5318,    0.5316,    0.5884,    0.5958,    0.5061,    0.4941,    0.3938,    0.4329,    0.4960,    0.0000,    0.4903,    0.4593,    0.5757,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.2420,    1.0000,    0.3030,    1.0000,    0.2230,    0.2847,    0.2468,    0.3461,       NaN,    0.2621,       NaN,    0.2171,    0.2328,    0.2628,       NaN,    0.1940,       NaN,    0.0069,    0.0000,    0.0211,    0.0000,     -----,
         2,    0.4644,    0.4608,    0.5354,    0.5395,    0.4342,    0.4191,    0.5542,    0.5456,    0.6171,    0.6079,    0.5281,    0.5128,    0.4259,    0.4456,    0.5227,    0.0000,    0.5173,    0.4850,    0.5978,    0.0000,    0.7448,    1.0000,    0.6754,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.7632,    0.7580,    0.7090,    0.6970,    0.7858,    0.7770,    0.7242,    0.0000,    0.6576,    0.0000,    0.7479,    0.0000,    0.7944,    0.0000,    0.7439,    0.0000,    0.8188,    0.0000,    0.2368,    0.2216,    0.2910,    0.2712,    0.2142,    0.2111,    0.2629,    0.2411,    0.3212,       NaN,    0.2438,       NaN,    0.2161,    0.2104,    0.2610,       NaN,    0.1952,       NaN,    0.0135,    0.0000,    0.0909,    0.0000,     -----,
         3,    0.4826,    0.4711,    0.5593,    0.5300,    0.4527,    0.4401,    0.5694,    0.5542,    0.6369,    0.6007,    0.5436,    0.5298,    0.4502,    0.4582,    0.5429,    0.0000,    0.5328,    0.5077,    0.6106,    0.0000,    0.5657,    1.0000,    0.4749,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.5938,    0.5900,    0.5135,    0.5080,    0.6273,    0.6130,    0.5421,    0.0000,    0.4499,    0.0000,    0.5750,    0.0000,    0.6342,    0.0000,    0.5564,    0.0000,    0.6718,    0.0000,    0.2220,    0.2254,    0.2758,    0.2500,    0.2017,    0.2088,    0.2451,    0.2498,    0.2995,       NaN,    0.2297,       NaN,    0.2090,    0.2014,    0.2514,       NaN,    0.1904,       NaN,    0.0197,    0.0000,    0.1392,    0.0000,     -----,
         4,    0.4962,    0.4975,    0.5774,    0.5461,    0.4673,    0.4720,    0.5808,    0.5756,    0.6522,    0.6132,    0.5559,    0.5558,    0.4695,    0.4707,    0.5589,    0.0000,    0.5420,    0.5260,    0.6183,    0.0000,    0.4366,    1.0000,    0.3455,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.4712,    0.4570,    0.3810,    0.3810,    0.5089,    0.4850,    0.4169,    0.0000,    0.3184,    0.0000,    0.4517,    0.0000,    0.5127,    0.0000,    0.4230,    0.0000,    0.5564,    0.0000,    0.2064,    0.2188,    0.2581,    0.2493,    0.1887,    0.2186,    0.2309,    0.2036,    0.2800,       NaN,    0.2173,       NaN,    0.2018,    0.2272,    0.2410,       NaN,    0.1861,       NaN,    0.0254,    0.0000,    0.1761,    0.0000,     -----,
         5,    0.5071,    0.5109,    0.5916,    0.5740,    0.4791,    0.4804,    0.5898,    0.5861,    0.6640,    0.6351,    0.5655,    0.5625,    0.4851,    0.4833,    0.5718,    0.0000,    0.5484,    0.5421,    0.6238,    0.0000,    0.3412,    1.0000,    0.2581,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.3807,    0.3570,    0.2892,    0.2860,    0.4189,    0.3790,    0.3279,    0.0000,    0.2323,    0.0000,    0.3619,    0.0000,    0.4200,    0.0000,    0.3272,    0.0000,    0.4651,    0.0000,    0.1921,    0.1793,    0.2408,    0.2203,    0.1768,    0.1398,    0.2207,    0.2102,    0.2654,       NaN,    0.2097,       NaN,    0.1959,    0.1511,    0.2311,       NaN,    0.1828,       NaN,    0.0309,    0.0000,    0.2063,    0.0000,     -----,
         6,    0.5162,    0.5176,    0.6036,    0.5864,    0.4887,    0.4855,    0.5973,    0.5915,    0.6741,    0.6448,    0.5737,    0.5665,    0.4979,    0.4960,    0.5824,    0.0000,    0.5538,    0.5567,    0.6285,    0.0000,    0.2695,    1.0000,    0.1962,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.3122,    0.2930,    0.2240,    0.2230,    0.3489,    0.3260,    0.2625,    0.0000,    0.1736,    0.0000,    0.2941,    0.0000,    0.3481,    0.0000,    0.2575,    0.0000,    0.3921,    0.0000,    0.1800,    0.1570,    0.2254,    0.1300,    0.1671,    0.1718,    0.2127,    0.1787,    0.2508,       NaN,    0.2042,       NaN,    0.1911,    0.1377,    0.2231,       NaN,    0.1802,       NaN,    0.0362,    0.0000,    0.2316,    0.0000,     -----,
         7,    0.5239,    0.5227,    0.6136,    0.5905,    0.4972,    0.4927,    0.6038,    0.5960,    0.6821,    0.6485,    0.5810,    0.5724,    0.5085,    0.5090,    0.5914,    0.0000,    0.5585,    0.5692,    0.6326,    0.0000,    0.2143,    1.0000,    0.1516,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.2594,    0.2470,    0.1768,    0.1940,    0.2937,    0.2700,    0.2134,    0.0000,    0.1328,    0.0000,    0.2419,    0.0000,    0.2917,    0.0000,    0.2058,    0.0000,    0.3334,    0.0000,    0.1690,    0.1579,    0.2108,    0.1959,    0.1582,    0.1333,    0.2075,    0.1467,    0.2432,       NaN,    0.1995,       NaN,    0.1886,    0.1604,    0.2180,       NaN,    0.1790,       NaN,    0.0413,    0.0000,    0.2535,    0.0000,     -----,
         8,    0.5309,    0.5343,    0.6227,    0.6169,    0.5045,    0.4871,    0.6095,    0.6051,    0.6891,    0.6687,    0.5871,    0.5680,    0.5179,    0.5213,    0.5992,    0.0000,    0.5618,    0.5802,    0.6352,    0.0000,    0.1706,    1.0000,    0.1189,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.2180,    0.2080,    0.1415,    0.1560,    0.2497,    0.2340,    0.1756,    0.0000,    0.1031,    0.0000,    0.2013,    0.0000,    0.2467,    0.0000,    0.1665,    0.0000,    0.2855,    0.0000,    0.1597,    0.1442,    0.1997,    0.1859,    0.1499,    0.1325,    0.2057,    0.1735,    0.2386,       NaN,    0.1997,       NaN,    0.1877,    0.1201,    0.2129,       NaN,    0.1794,       NaN,    0.0462,    0.0000,    0.2728,    0.0000,     -----,
         9,    0.5373,    0.5465,    0.6311,    0.6177,    0.5117,    0.4993,    0.6148,    0.6153,    0.6962,    0.6690,    0.5932,    0.5786,    0.5257,    0.5312,    0.6056,    0.0000,    0.5656,    0.5901,    0.6383,    0.0000,    0.1361,    1.0000,    0.0935,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1849,    0.1780,    0.1148,    0.1270,    0.2139,    0.2030,    0.1460,    0.0000,    0.0811,    0.0000,    0.1687,    0.0000,    0.2104,    0.0000,    0.1365,    0.0000,    0.2461,    0.0000,    0.1517,    0.1348,    0.1888,    0.1417,    0.1434,    0.1429,    0.2050,    0.1178,    0.2341,       NaN,    0.1997,       NaN,    0.1903,    0.1474,    0.2132,       NaN,    0.1835,       NaN,    0.0509,    0.0000,    0.2900,    0.0000,     -----,
        10,    0.5426,    0.5561,    0.6383,    0.6308,    0.5173,    0.4986,    0.6191,    0.6223,    0.7018,    0.6790,    0.5980,    0.5773,    0.5323,    0.5366,    0.6109,    0.0000,    0.5693,    0.5970,    0.6410,    0.0000,    0.1082,    1.0000,    0.0739,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1581,    0.1540,    0.0941,    0.1090,    0.1845,    0.1740,    0.1225,    0.0000,    0.0647,    0.0000,    0.1427,    0.0000,    0.1804,    0.0000,    0.1128,    0.0000,    0.2130,    0.0000,    0.1450,    0.0974,    0.1802,    0.1284,    0.1376,    0.1034,    0.2095,    0.1001,    0.2374,       NaN,    0.2039,       NaN,    0.1952,    0.0940,    0.2166,       NaN,    0.1896,       NaN,    0.0555,    0.0000,    0.3055,    0.0000,     -----,
