      occcnt,        pcnt,     p_level,        xcnt,   rest_zcnt,rest_z_level,      udistr,    escape1m,  escape1p5m,    escape2m,,
           1,           1,    0.928861,           1,      58    ,    0.633403,    0.000146,    0.617899,    0.680762,    0.720566,,
           1,           1,    0.928861,           1,      59    ,    0.638523,    0.000242,    0.414193,    0.499832,    0.557354,,
           1,           1,    0.928861,           1,      60    ,    0.643669,    0.000346,    0.247750,    0.339833,    0.407377,,
           1,           1,    0.928861,           1,      61    ,    0.648842,    0.000455,    0.134398,    0.217341,    0.286135,,
           1,           1,    0.928861,           1,      62    ,    0.654042,    0.000564,    0.066440,    0.132297,    0.196414,,
           1,           1,    0.928861,           1,      63    ,    0.659269,    0.000673,    0.030641,    0.079854,    0.137496,,
           1,           1,    0.928861,           1,      64    ,    0.664522,    0.000788,    0.015739,    0.054861,    0.107959,,
           1,           1,    0.928861,           1,      65    ,    0.669803,    0.000888,    0.015400,    0.054036,    0.106732,,
           1,           1,    0.928861,           1,      66    ,    0.675112,    0.000983,    0.029487,    0.077310,    0.133843,,
           1,           1,    0.928861,           1,      67    ,    0.680448,    0.001072,    0.064108,    0.127902,    0.190464,,
           1,           1,    0.928861,           1,      68    ,    0.685812,    0.001114,    0.130481,    0.211097,    0.278251,,
           1,           1,    0.928861,           1,      69    ,    0.691203,    0.001118,    0.242141,    0.332148,    0.398326,,
           1,           1,    0.928861,           1,      70    ,    0.696623,    0.001077,    0.407526,    0.491770,    0.548430,,
           1,           1,    0.928861,           1,      71    ,    0.702070,    0.000973,    0.611689,    0.673939,    0.713386,,
           1,           1,    0.928861,           2,      35    ,    0.522673,    0.000028,    0.599996,    0.660975,    0.699273,,
           1,           1,    0.928861,           2,      36    ,    0.527218,    0.000046,    0.395114,    0.476514,    0.530500,,
           1,           1,    0.928861,           2,      37    ,    0.531787,    0.000063,    0.231796,    0.317394,    0.378828,,
           1,           1,    0.928861,           2,      38    ,    0.536380,    0.000082,    0.123241,    0.198171,    0.257961,,
           1,           1,    0.928861,           2,      39    ,    0.540996,    0.000097,    0.059473,    0.116123,    0.167832,,
           1,           1,    0.928861,           2,      40    ,    0.545637,    0.000114,    0.025931,    0.063778,    0.104594,,
           1,           1,    0.928861,           2,      41    ,    0.550301,    0.000127,    0.010201,    0.033078,    0.063458,,
           1,           1,    0.928861,           2,      42    ,    0.554990,    0.000140,    0.003699,    0.017019,    0.039773,,
           1,           1,    0.928861,           2,      43    ,    0.559703,    0.000156,    0.001565,    0.010713,    0.030015,,
           1,           1,    0.928861,           2,      44    ,    0.564440,    0.000169,    0.001803,    0.011858,    0.032450,,
           1,           1,    0.928861,           2,      45    ,    0.569202,    0.000179,    0.004640,    0.020830,    0.047394,,
           1,           1,    0.928861,           2,      46    ,    0.573989,    0.000191,    0.012590,    0.040626,    0.077090,,
           1,           1,    0.928861,           2,      47    ,    0.578801,    0.000199,    0.031142,    0.076586,    0.125206,,
           1,           1,    0.928861,           2,      48    ,    0.583637,    0.000209,    0.069430,    0.135656,    0.195950,,
           1,           1,    0.928861,           2,      49    ,    0.588499,    0.000214,    0.139837,    0.225004,    0.292922,,
           1,           1,    0.928861,           2,      50    ,    0.593385,    0.000213,    0.255564,    0.350130,    0.418007,,
           1,           1,    0.928861,           2,      51    ,    0.598298,    0.000201,    0.423410,    0.510810,    0.568793,,
           1,           1,    0.928861,           2,      52    ,    0.603235,    0.000183,    0.626403,    0.690032,    0.730009,,
           1,           1,    0.928861,           3,      17    ,    0.444751,    0.000018,    0.585895,    0.645308,    0.682556,,
           1,           1,    0.928861,           3,      18    ,    0.448892,    0.000030,    0.380403,    0.458519,    0.510223,,
           1,           1,    0.928861,           3,      19    ,    0.453055,    0.000044,    0.219761,    0.300670,    0.358584,,
           1,           1,    0.928861,           3,      20    ,    0.457239,    0.000058,    0.115051,    0.184803,    0.240217,,
           1,           1,    0.928861,           3,      21    ,    0.461445,    0.000076,    0.054678,    0.106583,    0.153531,,
           1,           1,    0.928861,           3,      22    ,    0.465673,    0.000097,    0.023478,    0.057506,    0.093411,,
           1,           1,    0.928861,           3,      23    ,    0.469923,    0.000118,    0.009077,    0.028967,    0.054023,,
           1,           1,    0.928861,           3,      24    ,    0.474195,    0.000139,    0.003152,    0.013603,    0.029673,,
           1,           1,    0.928861,           3,      25    ,    0.478489,    0.000164,    0.000981,    0.005949,    0.015480,,
           1,           1,    0.928861,           3,      26    ,    0.482805,    0.000189,    0.000273,    0.002424,    0.007710,,
           1,           1,    0.928861,           3,      27    ,    0.487144,    0.000220,    0.000068,    0.000933,    0.003788,,
           1,           1,    0.928861,           3,      28    ,    0.491505,    0.000251,    0.000016,    0.000388,    0.002141,,
           1,           1,    0.928861,           3,      29    ,    0.495889,    0.000287,    0.000009,    0.000316,    0.002010,,
           1,           1,    0.928861,           3,      30    ,    0.500295,    0.000326,    0.000029,    0.000651,    0.003321,,
           1,           1,    0.928861,           3,      31    ,    0.504724,    0.000370,    0.000124,    0.001685,    0.006655,,
           1,           1,    0.928861,           3,      32    ,    0.509177,    0.000410,    0.000474,    0.004211,    0.013339,,
           1,           1,    0.928861,           3,      33    ,    0.513652,    0.000455,    0.001614,    0.009821,    0.025573,,
           1,           1,    0.928861,           3,      34    ,    0.518151,    0.000507,    0.004921,    0.021306,    0.046546,,
           1,           1,    0.928861,           3,      35    ,    0.522673,    0.000557,    0.013446,    0.043034,    0.080382,,
           1,           1,    0.928861,           3,      36    ,    0.527218,    0.000616,    0.033001,    0.081025,    0.131798,,
           1,           1,    0.928861,           3,      37    ,    0.531787,    0.000654,    0.072916,    0.142412,    0.205388,,
           1,           1,    0.928861,           3,      38    ,    0.536380,    0.000687,    0.145525,    0.234121,    0.304628,,
           1,           1,    0.928861,           3,      39    ,    0.540996,    0.000694,    0.263535,    0.361016,    0.430906,,
           1,           1,    0.928861,           3,      40    ,    0.545637,    0.000675,    0.432689,    0.521956,    0.581132,,
           1,           1,    0.928861,           3,      41    ,    0.550301,    0.000618,    0.634866,    0.699257,    0.739686,,
           2,           1,    0.928861,           1,      66    ,    0.675112,    0.000200,    0.624108,    0.687918,    0.729324,,
           2,           1,    0.928861,           1,      67    ,    0.680448,    0.000299,    0.420978,    0.508957,    0.569993,,
           2,           1,    0.928861,           1,      68    ,    0.685812,    0.000399,    0.253760,    0.350259,    0.424155,,
           2,           1,    0.928861,           1,      69    ,    0.691203,    0.000496,    0.139530,    0.229941,    0.308863,,
           2,           1,    0.928861,           1,      70    ,    0.696623,    0.000592,    0.072327,    0.150348,    0.229146,,
           2,           1,    0.928861,           1,      71    ,    0.702070,    0.000682,    0.041413,    0.109683,    0.186742,,
           2,           1,    0.928861,           1,      72    ,    0.707546,    0.000756,    0.039571,    0.106320,    0.182483,,
           2,           1,    0.928861,           1,      73    ,    0.713050,    0.000818,    0.066455,    0.140359,    0.216781,,
           2,           1,    0.928861,           1,      74    ,    0.718583,    0.000856,    0.128938,    0.213860,    0.289726,,
           2,           1,    0.928861,           1,      75    ,    0.724144,    0.000863,    0.238377,    0.329643,    0.400771,,
           2,           1,    0.928861,           1,      76    ,    0.729735,    0.000811,    0.402652,    0.487022,    0.546287,,
           2,           1,    0.928861,           1,      77    ,    0.735354,    0.000729,    0.607043,    0.669265,    0.710009,,
           2,           1,    0.928861,           2,      43    ,    0.559703,    0.000044,    0.606239,    0.667883,    0.706665,,
           2,           1,    0.928861,           2,      44    ,    0.564440,    0.000066,    0.401716,    0.484568,    0.539669,,
           2,           1,    0.928861,           2,      45    ,    0.569202,    0.000087,    0.237269,    0.325016,    0.388319,,
           2,           1,    0.928861,           2,      46    ,    0.573989,    0.000108,    0.127018,    0.204456,    0.266911,,
           2,           1,    0.928861,           2,      47    ,    0.578801,    0.000125,    0.061731,    0.120989,    0.176303,,
           2,           1,    0.928861,           2,      48    ,    0.583637,    0.000140,    0.027187,    0.067880,    0.113671,,
           2,           1,    0.928861,           2,      49    ,    0.588499,    0.000156,    0.011109,    0.037855,    0.075403,,
           2,           1,    0.928861,           2,      50    ,    0.593385,    0.000167,    0.005212,    0.025028,    0.058274,,
           2,           1,    0.928861,           2,      51    ,    0.598298,    0.000180,    0.005581,    0.026270,    0.060465,,
           2,           1,    0.928861,           2,      52    ,    0.603235,    0.000189,    0.012460,    0.041828,    0.082089,,
           2,           1,    0.928861,           2,      53    ,    0.608198,    0.000199,    0.030247,    0.075229,    0.125088,,
           2,           1,    0.928861,           2,      54    ,    0.613187,    0.000208,    0.067603,    0.132430,    0.192507,,
           2,           1,    0.928861,           2,      55    ,    0.618202,    0.000207,    0.136804,    0.220245,    0.287336,,
           2,           1,    0.928861,           2,      56    ,    0.623243,    0.000205,    0.251274,    0.344290,    0.411311,,
           2,           1,    0.928861,           2,      57    ,    0.628310,    0.000195,    0.418373,    0.504748,    0.562164,,
           2,           1,    0.928861,           2,      58    ,    0.633403,    0.000172,    0.621769,    0.684964,    0.724715,,
           2,           1,    0.928861,           3,      25    ,    0.478489,    0.000045,    0.592170,    0.652292,    0.690016,,
           2,           1,    0.928861,           3,      26    ,    0.482805,    0.000073,    0.386916,    0.466498,    0.519216,,
           2,           1,    0.928861,           3,      27    ,    0.487144,    0.000104,    0.225062,    0.308046,    0.367495,,
           2,           1,    0.928861,           3,      28    ,    0.491505,    0.000137,    0.118640,    0.190663,    0.247932,,
           2,           1,    0.928861,           3,      29    ,    0.495889,    0.000174,    0.056769,    0.110724,    0.159577,,
           2,           1,    0.928861,           3,      30    ,    0.500295,    0.000209,    0.024541,    0.060152,    0.097783,,
           2,           1,    0.928861,           3,      31    ,    0.504724,    0.000250,    0.009551,    0.030511,    0.057000,,
           2,           1,    0.928861,           3,      32    ,    0.509177,    0.000297,    0.003340,    0.014442,    0.031680,,
           2,           1,    0.928861,           3,      33    ,    0.513652,    0.000340,    0.001048,    0.006412,    0.017035,,
           2,           1,    0.928861,           3,      34    ,    0.518151,    0.000393,    0.000299,    0.002800,    0.009481,,
           2,           1,    0.928861,           3,      35    ,    0.522673,    0.000443,    0.000101,    0.001577,    0.006768,,
           2,           1,    0.928861,           3,      36    ,    0.527218,    0.000498,    0.000135,    0.001948,    0.007978,,
           2,           1,    0.928861,           3,      37    ,    0.531787,    0.000556,    0.000457,    0.004147,    0.013472,,
           2,           1,    0.928861,           3,      38    ,    0.536380,    0.000613,    0.001553,    0.009482,    0.024882,,
           2,           1,    0.928861,           3,      39    ,    0.540996,    0.000679,    0.004754,    0.020591,    0.045075,,
           2,           1,    0.928861,           3,      40    ,    0.545637,    0.000739,    0.013043,    0.041747,    0.078020,,
           2,           1,    0.928861,           3,      41    ,    0.550301,    0.000795,    0.032143,    0.078924,    0.128407,,
           2,           1,    0.928861,           3,      42    ,    0.554990,    0.000839,    0.071315,    0.139295,    0.200917,,
           2,           1,    0.928861,           3,      43    ,    0.559703,    0.000875,    0.142920,    0.229946,    0.299223,,
           2,           1,    0.928861,           3,      44    ,    0.564440,    0.000886,    0.259895,    0.356050,    0.425009,,
           2,           1,    0.928861,           3,      45    ,    0.569202,    0.000855,    0.428465,    0.516888,    0.575521,,
           2,           1,    0.928861,           3,      46    ,    0.573989,    0.000781,    0.631025,    0.695075,    0.735302,,
           3,           1,    0.928861,           1,      58    ,    0.633403,    0.000129,    0.617919,    0.681170,    0.722346,,
           3,           1,    0.928861,           1,      59    ,    0.638523,    0.000216,    0.414284,    0.500961,    0.561355,,
           3,           1,    0.928861,           1,      60    ,    0.643669,    0.000309,    0.248101,    0.342680,    0.415550,,
           3,           1,    0.928861,           1,      61    ,    0.648842,    0.000406,    0.135602,    0.223967,    0.301727,,
           3,           1,    0.928861,           1,      62    ,    0.654042,    0.000505,    0.070122,    0.146567,    0.224420,,
           3,           1,    0.928861,           1,      63    ,    0.659269,    0.000603,    0.040682,    0.108304,    0.184937,,
           3,           1,    0.928861,           1,      64    ,    0.664522,    0.000690,    0.040180,    0.107387,    0.183776,,
           3,           1,    0.928861,           1,      65    ,    0.669803,    0.000769,    0.068521,    0.143843,    0.221047,,
           3,           1,    0.928861,           1,      66    ,    0.675112,    0.000825,    0.132713,    0.219581,    0.296507,,
           3,           1,    0.928861,           1,      67    ,    0.680448,    0.000852,    0.243905,    0.337057,    0.409171,,
           3,           1,    0.928861,           1,      68    ,    0.685812,    0.000839,    0.409286,    0.494977,    0.554888,,
           3,           1,    0.928861,           1,      69    ,    0.691203,    0.000773,    0.613265,    0.676083,    0.717077,,
           3,           1,    0.928861,           2,      34    ,    0.518151,    0.000021,    0.599214,    0.660109,    0.698352,,
           3,           1,    0.928861,           2,      35    ,    0.522673,    0.000035,    0.394292,    0.475510,    0.529374,,
           3,           1,    0.928861,           2,      36    ,    0.527218,    0.000049,    0.231118,    0.316454,    0.377697,,
           3,           1,    0.928861,           2,      37    ,    0.531787,    0.000063,    0.122775,    0.197414,    0.256969,,
           3,           1,    0.928861,           2,      38    ,    0.536380,    0.000075,    0.059198,    0.115582,    0.167050,,
           3,           1,    0.928861,           2,      39    ,    0.540996,    0.000087,    0.025790,    0.063430,    0.104032,,
           3,           1,    0.928861,           2,      40    ,    0.545637,    0.000094,    0.010138,    0.032877,    0.063098,,
           3,           1,    0.928861,           2,      41    ,    0.550301,    0.000109,    0.003675,    0.016922,    0.039584,,
           3,           1,    0.928861,           2,      42    ,    0.554990,    0.000116,    0.001559,    0.010691,    0.029975,,
           3,           1,    0.928861,           2,      43    ,    0.559703,    0.000131,    0.001811,    0.011903,    0.032553,,
           3,           1,    0.928861,           2,      44    ,    0.564440,    0.000143,    0.004671,    0.020958,    0.047654,,
           3,           1,    0.928861,           2,      45    ,    0.569202,    0.000149,    0.012668,    0.040870,    0.077532,,
           3,           1,    0.928861,           2,      46    ,    0.573989,    0.000158,    0.031307,    0.076991,    0.125857,,
           3,           1,    0.928861,           2,      47    ,    0.578801,    0.000167,    0.069742,    0.136264,    0.196821,,
           3,           1,    0.928861,           2,      48    ,    0.583637,    0.000171,    0.140347,    0.225825,    0.293986,,
           3,           1,    0.928861,           2,      49    ,    0.588499,    0.000173,    0.256283,    0.351115,    0.419178,,
           3,           1,    0.928861,           2,      50    ,    0.593385,    0.000164,    0.424252,    0.511822,    0.569917,,
           3,           1,    0.928861,           2,      51    ,    0.598298,    0.000149,    0.627174,    0.690874,    0.730895,,
           3,           1,    0.928861,           3,      16    ,    0.440631,    0.000013,    0.585110,    0.644433,    0.681620,,
           3,           1,    0.928861,           3,      17    ,    0.444751,    0.000023,    0.379592,    0.457524,    0.509100,,
           3,           1,    0.928861,           3,      18    ,    0.448892,    0.000035,    0.219104,    0.299754,    0.357477,,
           3,           1,    0.928861,           3,      19    ,    0.453055,    0.000048,    0.114607,    0.184078,    0.239264,,
           3,           1,    0.928861,           3,      20    ,    0.457239,    0.000062,    0.054421,    0.106074,    0.152789,,
           3,           1,    0.928861,           3,      21    ,    0.461445,    0.000077,    0.023348,    0.057182,    0.092880,,
           3,           1,    0.928861,           3,      22    ,    0.465673,    0.000095,    0.009019,    0.028780,    0.053676,,
