  
  
 =============================================================
 ==, rho_p:  0.998521089553833      ==,sigma:  2.006003865972161E-003
 -------------------------------------------------------------
     grid,stat dist,  1 trans,  2 trans,  3 trans,  4 trans,  5 trans,  6 trans,  7 trans,  8 trans,  9 trans, 10 trans, 11 trans, 12 trans, 13 trans, 14 trans, 15 trans, 16 trans, 17 trans, 18 trans, 19 trans, 20 trans,
   0.9289,   0.0440,   0.9701,   0.0299,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9361,   0.0265,   0.0497,   0.8881,   0.0623,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9434,   0.0328,   0.0000,   0.0504,   0.8882,   0.0615,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9508,   0.0395,   0.0000,   0.0000,   0.0511,   0.8883,   0.0607,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9582,   0.0463,   0.0000,   0.0000,   0.0000,   0.0518,   0.8883,   0.0599,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9656,   0.0528,   0.0000,   0.0000,   0.0000,   0.0000,   0.0525,   0.8884,   0.0591,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9732,   0.0587,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0532,   0.8885,   0.0584,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9808,   0.0636,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0539,   0.8885,   0.0576,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9884,   0.0670,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0546,   0.8885,   0.0568,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9961,   0.0688,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0554,   0.8885,   0.0561,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0039,   0.0688,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0561,   0.8885,   0.0554,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
