  
  
 =============================================================
 ==, rho_p:  0.997934877872467      ==,sigma:  1.981202512979507E-003
 -------------------------------------------------------------
     grid,stat dist,  1 trans,  2 trans,  3 trans,  4 trans,  5 trans,  6 trans,  7 trans,  8 trans,  9 trans, 10 trans, 11 trans, 12 trans, 13 trans, 14 trans, 15 trans, 16 trans, 17 trans, 18 trans, 19 trans, 20 trans,
   0.9116,   0.0371,   0.9909,   0.0091,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9205,   0.0119,   0.0284,   0.9256,   0.0460,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9296,   0.0186,   0.0000,   0.0293,   0.9259,   0.0448,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9387,   0.0276,   0.0000,   0.0000,   0.0302,   0.9261,   0.0436,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9478,   0.0387,   0.0000,   0.0000,   0.0000,   0.0311,   0.9264,   0.0425,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9571,   0.0512,   0.0000,   0.0000,   0.0000,   0.0000,   0.0321,   0.9266,   0.0414,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9665,   0.0641,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0330,   0.9267,   0.0403,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9759,   0.0759,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0340,   0.9268,   0.0392,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9855,   0.0850,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0350,   0.9269,   0.0381,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9951,   0.0899,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0360,   0.9269,   0.0370,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0049,   0.0899,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0370,   0.9269,   0.0360,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0147,   0.0850,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0381,   0.9269,   0.0350,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0246,   0.0759,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0392,   0.9268,   0.0340,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0347,   0.0641,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0403,   0.9267,   0.0330,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0448,   0.0512,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0414,   0.9266,   0.0321,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0550,   0.0387,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0425,   0.9264,   0.0311,   0.0000,   0.0000,   0.0000,
   1.0654,   0.0276,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0436,   0.9261,   0.0302,   0.0000,   0.0000,
   1.0758,   0.0186,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0448,   0.9259,   0.0293,   0.0000,
   1.0863,   0.0119,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0460,   0.9256,   0.0284,
   1.0969,   0.0371,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0091,   0.9909,
 long run average aggregate productivity is    1.00095813688341     
