     month,   cmdur_m,   cmdur_d,  cmdury_m,  cmdury_d,  cmdurp_m,  cmdurp_d,    mdur_m,    mdur_d,   mdury_m,   mdury_d,   mdurp_m,   mdurp_d,badcmdur_m,badcmdur_d, badmdur_m, badmdur_d, gdcmdur_m, gdcmdur_d,  gdmdur_m,  gdmdur_d,badnspel_m,badnspel_d, gdnspel_m, gdnspel_d,badcm_lb_d,badcm_ub_d, gdcm_lb_d, gdcm_ub_d,    surv_m,    surv_d,   survy_m,   survy_d,   survp_m,   survp_d,  stsurv_m,  stsurv_d, stsurvy_m, stsurvy_d, stsurvp_m, stsurvp_d,  mvsurv_m,  mvsurv_d, mvsurvy_m, mvsurvy_d, mvsurvp_m, mvsurvp_d,     haz_m,     haz_d,    hazy_m,    hazy_d,    hazp_m,    hazp_d,   sthaz_m,   sthaz_d,  sthazy_m,  sthazy_d,  sthazp_m,  sthazp_d,   mvhaz_m,   mvhaz_d,  mvhazy_m,  mvhazy_d,  mvhazp_m,  mvhazp_d,sepallyr_m,sepallyr_d,seprhire_m,seprhire_d,     -----,
         1,    0.4123,    0.4461,    0.4711,    0.5133,    0.3883,    0.3974,    0.5228,    0.5374,    0.5715,    0.5958,    0.5028,    0.4941,    0.4136,    0.4411,    0.5237,    0.0000,    0.4591,    0.4542,    0.5606,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.2420,    1.0000,    0.3030,    1.0000,    0.2230,    0.2393,    0.2468,    0.2700,       NaN,    0.2275,       NaN,    0.1710,    0.2328,    0.2055,       NaN,    0.1544,       NaN,    0.0076,    0.0000,    0.0104,    0.0000,     -----,
         2,    0.4382,    0.4620,    0.4958,    0.5176,    0.4162,    0.4229,    0.5442,    0.5505,    0.5921,    0.6079,    0.5253,    0.5128,    0.4446,    0.4582,    0.5490,    0.0000,    0.4816,    0.4740,    0.5790,    0.0000,    0.7663,    1.0000,    0.7350,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.8170,    0.8363,    0.7833,    0.7968,    0.8308,    0.8535,    0.7733,    0.0000,    0.7400,    0.0000,    0.7857,    0.0000,    0.8487,    0.0000,    0.8107,    0.0000,    0.8658,    0.0000,    0.1830,    0.2216,    0.2167,    0.2712,    0.1692,    0.2111,    0.2112,    0.2411,    0.2322,       NaN,    0.2029,       NaN,    0.1611,    0.2104,    0.1895,       NaN,    0.1479,       NaN,    0.0151,    0.0000,    0.0657,    0.0000,     -----,
         3,    0.4568,    0.4809,    0.5115,    0.5245,    0.4368,    0.4473,    0.5594,    0.5656,    0.6051,    0.6007,    0.5419,    0.5298,    0.4667,    0.4771,    0.5672,    0.0000,    0.4965,    0.4929,    0.5910,    0.0000,    0.6065,    1.0000,    0.5616,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.6853,    0.6913,    0.6358,    0.6340,    0.7059,    0.7060,    0.6211,    0.0000,    0.5768,    0.0000,    0.6381,    0.0000,    0.7305,    0.0000,    0.6721,    0.0000,    0.7571,    0.0000,    0.1612,    0.2254,    0.1883,    0.2500,    0.1504,    0.2088,    0.2001,    0.2498,    0.2166,       NaN,    0.1945,       NaN,    0.1547,    0.2014,    0.1800,       NaN,    0.1441,       NaN,    0.0222,    0.0000,    0.1178,    0.0000,     -----,
         4,    0.4731,    0.5120,    0.5250,    0.5473,    0.4549,    0.4848,    0.5730,    0.5903,    0.6160,    0.6132,    0.5570,    0.5558,    0.4855,    0.5081,    0.5827,    0.0000,    0.5096,    0.5223,    0.6019,    0.0000,    0.4849,    1.0000,    0.4381,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.5832,    0.5706,    0.5259,    0.5148,    0.6066,    0.5868,    0.5074,    0.0000,    0.4599,    0.0000,    0.5253,    0.0000,    0.6353,    0.0000,    0.5653,    0.0000,    0.6668,    0.0000,    0.1490,    0.2188,    0.1729,    0.2493,    0.1406,    0.2186,    0.1951,    0.2036,    0.2095,       NaN,    0.1902,       NaN,    0.1504,    0.2272,    0.1731,       NaN,    0.1388,       NaN,    0.0288,    0.0000,    0.1601,    0.0000,     -----,
         5,    0.4892,    0.5260,    0.5381,    0.5768,    0.4727,    0.4918,    0.5861,    0.6013,    0.6266,    0.6351,    0.5721,    0.5625,    0.5042,    0.5124,    0.5979,    0.0000,    0.5230,    0.5456,    0.6130,    0.0000,    0.3888,    1.0000,    0.3451,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.5014,    0.4887,    0.4405,    0.4478,    0.5267,    0.4893,    0.4187,    0.0000,    0.3713,    0.0000,    0.4365,    0.0000,    0.5570,    0.0000,    0.4811,    0.0000,    0.5924,    0.0000,    0.1403,    0.1793,    0.1623,    0.2203,    0.1317,    0.1398,    0.1899,    0.2102,    0.2034,       NaN,    0.1828,       NaN,    0.1519,    0.1511,    0.1719,       NaN,    0.1428,       NaN,    0.0350,    0.0000,    0.1957,    0.0000,     -----,
         6,    0.5026,    0.5367,    0.5499,    0.5837,    0.4866,    0.5032,    0.5972,    0.6100,    0.6356,    0.6448,    0.5837,    0.5665,    0.5184,    0.5308,    0.6106,    0.0000,    0.5354,    0.5575,    0.6231,    0.0000,    0.3141,    1.0000,    0.2737,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.4342,    0.4251,    0.3724,    0.3808,    0.4604,    0.4361,    0.3492,    0.0000,    0.3033,    0.0000,    0.3673,    0.0000,    0.4899,    0.0000,    0.4120,    0.0000,    0.5265,    0.0000,    0.1340,    0.1570,    0.1547,    0.1300,    0.1258,    0.1718,    0.1872,    0.1787,    0.1995,       NaN,    0.1846,       NaN,    0.1534,    0.1377,    0.1714,       NaN,    0.1490,       NaN,    0.0410,    0.0000,    0.2265,    0.0000,     -----,
         7,    0.5144,    0.5408,    0.5593,    0.5935,    0.5002,    0.4997,    0.6070,    0.6135,    0.6436,    0.6485,    0.5941,    0.5724,    0.5328,    0.5360,    0.6228,    0.0000,    0.5459,    0.5460,    0.6327,    0.0000,    0.2547,    1.0000,    0.2174,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.3784,    0.3761,    0.3173,    0.3431,    0.4034,    0.3807,    0.2937,    0.0000,    0.2502,    0.0000,    0.3102,    0.0000,    0.4324,    0.0000,    0.3549,    0.0000,    0.4675,    0.0000,    0.1284,    0.1579,    0.1478,    0.1959,    0.1238,    0.1333,    0.1847,    0.1467,    0.1973,       NaN,    0.1846,       NaN,    0.1579,    0.1604,    0.1719,       NaN,    0.1539,       NaN,    0.0466,    0.0000,    0.2528,    0.0000,     -----,
         8,    0.5242,    0.5523,    0.5674,    0.6014,    0.5120,    0.5090,    0.6147,    0.6227,    0.6507,    0.6687,    0.6030,    0.5680,    0.5428,    0.5553,    0.6303,    0.0000,    0.5550,    0.5441,    0.6407,    0.0000,    0.2070,    1.0000,    0.1740,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.3316,    0.3263,    0.2724,    0.2901,    0.3549,    0.3348,    0.2492,    0.0000,    0.2082,    0.0000,    0.2637,    0.0000,    0.3823,    0.0000,    0.3075,    0.0000,    0.4157,    0.0000,    0.1238,    0.1442,    0.1414,    0.1859,    0.1203,    0.1325,    0.1871,    0.1735,    0.1925,       NaN,    0.1816,       NaN,    0.1562,    0.1201,    0.1658,       NaN,    0.1521,       NaN,    0.0521,    0.0000,    0.2759,    0.0000,     -----,
         9,    0.5347,    0.5708,    0.5766,    0.6140,    0.5219,    0.5185,    0.6235,    0.6371,    0.6580,    0.6690,    0.6114,    0.5786,    0.5531,    0.5778,    0.6389,    0.0000,    0.5660,    0.5423,    0.6498,    0.0000,    0.1679,    1.0000,    0.1385,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.2927,    0.2960,    0.2369,    0.2613,    0.3151,    0.3045,    0.2124,    0.0000,    0.1752,    0.0000,    0.2264,    0.0000,    0.3406,    0.0000,    0.2696,    0.0000,    0.3723,    0.0000,    0.1173,    0.1348,    0.1306,    0.1417,    0.1122,    0.1429,    0.1895,    0.1178,    0.2033,       NaN,    0.1863,       NaN,    0.1644,    0.1474,    0.1778,       NaN,    0.1575,       NaN,    0.0573,    0.0000,    0.2966,    0.0000,     -----,
        10,    0.5430,    0.5873,    0.5852,    0.6269,    0.5319,    0.5388,    0.6306,    0.6501,    0.6651,    0.6790,    0.6197,    0.5773,    0.5613,    0.6080,    0.6456,    0.0000,    0.5736,    0.5377,    0.6565,    0.0000,    0.1362,    1.0000,    0.1097,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.2592,    0.2655,    0.2056,    0.2349,    0.2808,    0.2681,    0.1822,    0.0000,    0.1472,    0.0000,    0.1950,    0.0000,    0.3035,    0.0000,    0.2357,    0.0000,    0.3343,    0.0000,    0.1144,    0.0974,    0.1322,    0.1284,    0.1089,    0.1034,    0.1891,    0.1001,    0.2051,       NaN,    0.1804,       NaN,    0.1703,    0.0940,    0.1815,       NaN,    0.1677,       NaN,    0.0624,    0.0000,    0.3152,    0.0000,     -----,
