     month,   cmdur_m,   cmdur_d,  cmdury_m,  cmdury_d,  cmdurp_m,  cmdurp_d,    mdur_m,    mdur_d,   mdury_m,   mdury_d,   mdurp_m,   mdurp_d,badcmdur_m,badcmdur_d, badmdur_m, badmdur_d, gdcmdur_m, gdcmdur_d,  gdmdur_m,  gdmdur_d,badnspel_m,badnspel_d, gdnspel_m, gdnspel_d,badcm_lb_d,badcm_ub_d, gdcm_lb_d, gdcm_ub_d,    surv_m,    surv_d,   survy_m,   survy_d,   survp_m,   survp_d,  stsurv_m,  stsurv_d, stsurvy_m, stsurvy_d, stsurvp_m, stsurvp_d,  mvsurv_m,  mvsurv_d, mvsurvy_m, mvsurvy_d, mvsurvp_m, mvsurvp_d,     haz_m,     haz_d,    hazy_m,    hazy_d,    hazp_m,    hazp_d,   sthaz_m,   sthaz_d,  sthazy_m,  sthazy_d,  sthazp_m,  sthazp_d,   mvhaz_m,   mvhaz_d,  mvhazy_m,  mvhazy_d,  mvhazp_m,  mvhazp_d,sepallyr_m,sepallyr_d,seprhire_m,seprhire_d,     -----,
         1,    0.0000,    0.4446,    0.0000,    0.5256,    0.0000,    0.3972,    0.1767,    0.5316,    0.1773,    0.5958,    0.1762,    0.4941,    0.0000,    0.4329,    0.1762,    0.0000,    0.0000,    0.4593,    0.1761,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.2420,    1.0000,    0.3030,    1.0000,    0.2230,    0.2933,    0.2468,    0.3441,       NaN,    0.2706,       NaN,    0.2948,    0.2328,    0.3464,       NaN,    0.2715,       NaN,    0.0065,    0.0000,    0.0102,    0.0000,     -----,
         2,    0.0000,    0.4608,    0.0000,    0.5395,    0.0000,    0.4191,    0.1764,    0.5456,    0.1768,    0.6079,    0.1760,    0.5128,    0.0000,    0.4456,    0.1760,    0.0000,    0.0000,    0.4850,    0.1756,    0.0000,    0.7174,    1.0000,    0.6914,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.7199,    0.7580,    0.6642,    0.6970,    0.7441,    0.7770,    0.7189,    0.0000,    0.6637,    0.0000,    0.7430,    0.0000,    0.7175,    0.0000,    0.6613,    0.0000,    0.7415,    0.0000,    0.2801,    0.2216,    0.3358,    0.2712,    0.2559,    0.2111,    0.2637,    0.2411,    0.3217,       NaN,    0.2412,       NaN,    0.2661,    0.2104,    0.3284,       NaN,    0.2414,       NaN,    0.0128,    0.0000,    0.0474,    0.0000,     -----,
         3,    0.0000,    0.4711,    0.0000,    0.5300,    0.0000,    0.4401,    0.1759,    0.5542,    0.1754,    0.6007,    0.1760,    0.5298,    0.0000,    0.4582,    0.1762,    0.0000,    0.0000,    0.5077,    0.1752,    0.0000,    0.5318,    1.0000,    0.5028,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.5419,    0.5900,    0.4578,    0.5080,    0.5779,    0.6130,    0.5404,    0.0000,    0.4575,    0.0000,    0.5760,    0.0000,    0.5376,    0.0000,    0.4515,    0.0000,    0.5741,    0.0000,    0.2473,    0.2254,    0.3108,    0.2500,    0.2234,    0.2088,    0.2406,    0.2498,    0.3004,       NaN,    0.2202,       NaN,    0.2407,    0.2014,    0.3039,       NaN,    0.2170,       NaN,    0.0190,    0.0000,    0.0750,    0.0000,     -----,
         4,    0.0000,    0.4975,    0.0000,    0.5461,    0.0000,    0.4720,    0.1759,    0.5756,    0.1746,    0.6132,    0.1766,    0.5558,    0.0000,    0.4707,    0.1769,    0.0000,    0.0000,    0.5260,    0.1746,    0.0000,    0.4048,    1.0000,    0.3795,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.4225,    0.4570,    0.3275,    0.3810,    0.4630,    0.4850,    0.4204,    0.0000,    0.3268,    0.0000,    0.4603,    0.0000,    0.4182,    0.0000,    0.3210,    0.0000,    0.4599,    0.0000,    0.2203,    0.2188,    0.2846,    0.2493,    0.1988,    0.2186,    0.2195,    0.2036,    0.2751,       NaN,    0.2025,       NaN,    0.2202,    0.2272,    0.2772,       NaN,    0.2049,       NaN,    0.0249,    0.0000,    0.0970,    0.0000,     -----,
         5,    0.0000,    0.5109,    0.0000,    0.5740,    0.0000,    0.4804,    0.1757,    0.5861,    0.1742,    0.6351,    0.1762,    0.5625,    0.0000,    0.4833,    0.1779,    0.0000,    0.0000,    0.5421,    0.1746,    0.0000,    0.3157,    1.0000,    0.2955,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.3397,    0.3570,    0.2441,    0.2860,    0.3802,    0.3790,    0.3373,    0.0000,    0.2431,    0.0000,    0.3773,    0.0000,    0.3353,    0.0000,    0.2382,    0.0000,    0.3755,    0.0000,    0.1959,    0.1793,    0.2546,    0.2203,    0.1789,    0.1398,    0.2069,    0.2102,    0.2565,       NaN,    0.1942,       NaN,    0.2028,    0.1511,    0.2538,       NaN,    0.1865,       NaN,    0.0306,    0.0000,    0.1158,    0.0000,     -----,
         6,    0.0000,    0.5176,    0.0000,    0.5864,    0.0000,    0.4855,    0.1765,    0.5915,    0.1747,    0.6448,    0.1775,    0.5665,    0.0000,    0.4960,    0.1792,    0.0000,    0.0000,    0.5567,    0.1754,    0.0000,    0.2506,    1.0000,    0.2331,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.2791,    0.2930,    0.1879,    0.2230,    0.3174,    0.3260,    0.2762,    0.0000,    0.1866,    0.0000,    0.3138,    0.0000,    0.2757,    0.0000,    0.1834,    0.0000,    0.3144,    0.0000,    0.1784,    0.1570,    0.2301,    0.1300,    0.1651,    0.1718,    0.1944,    0.1787,    0.2360,       NaN,    0.1852,       NaN,    0.1916,    0.1377,    0.2315,       NaN,    0.1867,       NaN,    0.0362,    0.0000,    0.1319,    0.0000,     -----,
         7,    0.0000,    0.5227,    0.0000,    0.5905,    0.0000,    0.4927,    0.1770,    0.5960,    0.1756,    0.6485,    0.1773,    0.5724,    0.0000,    0.5090,    0.1793,    0.0000,    0.0000,    0.5692,    0.1748,    0.0000,    0.2028,    1.0000,    0.1871,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.2338,    0.2470,    0.1496,    0.1940,    0.2687,    0.2700,    0.2306,    0.0000,    0.1479,    0.0000,    0.2651,    0.0000,    0.2309,    0.0000,    0.1461,    0.0000,    0.2647,    0.0000,    0.1622,    0.1579,    0.2043,    0.1959,    0.1535,    0.1333,    0.1890,    0.1467,    0.2265,       NaN,    0.1779,       NaN,    0.1894,    0.1604,    0.2299,       NaN,    0.1807,       NaN,    0.0417,    0.0000,    0.1463,    0.0000,     -----,
         8,    0.0000,    0.5343,    0.0000,    0.6169,    0.0000,    0.4871,    0.1769,    0.6051,    0.1749,    0.6687,    0.1768,    0.5680,    0.0000,    0.5213,    0.1778,    0.0000,    0.0000,    0.5802,    0.1734,    0.0000,    0.1649,    1.0000,    0.1513,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1982,    0.2080,    0.1212,    0.1560,    0.2305,    0.2340,    0.1949,    0.0000,    0.1195,    0.0000,    0.2269,    0.0000,    0.1950,    0.0000,    0.1177,    0.0000,    0.2255,    0.0000,    0.1522,    0.1442,    0.1896,    0.1859,    0.1421,    0.1325,    0.1842,    0.1735,    0.2154,       NaN,    0.1782,       NaN,    0.1872,    0.1201,    0.2154,       NaN,    0.1848,       NaN,    0.0471,    0.0000,    0.1595,    0.0000,     -----,
         9,    0.0000,    0.5465,    0.0000,    0.6177,    0.0000,    0.4993,    0.1764,    0.6153,    0.1749,    0.6690,    0.1756,    0.5786,    0.0000,    0.5312,    0.1754,    0.0000,    0.0000,    0.5901,    0.1747,    0.0000,    0.1348,    1.0000,    0.1232,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1700,    0.1780,    0.1004,    0.1270,    0.1989,    0.2030,    0.1667,    0.0000,    0.0986,    0.0000,    0.1955,    0.0000,    0.1663,    0.0000,    0.0971,    0.0000,    0.1927,    0.0000,    0.1423,    0.1348,    0.1715,    0.1417,    0.1370,    0.1429,    0.1876,    0.1178,    0.2085,       NaN,    0.1839,       NaN,    0.1892,    0.1474,    0.2120,       NaN,    0.1802,       NaN,    0.0523,    0.0000,    0.1714,    0.0000,     -----,
        10,    0.0000,    0.5561,    0.0000,    0.6308,    0.0000,    0.4986,    0.1761,    0.6223,    0.1743,    0.6790,    0.1763,    0.5773,    0.0000,    0.5366,    0.1755,    0.0000,    0.0000,    0.5970,    0.1770,    0.0000,    0.1090,    1.0000,    0.0992,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1466,    0.1540,    0.0846,    0.1090,    0.1724,    0.1740,    0.1433,    0.0000,    0.0828,    0.0000,    0.1688,    0.0000,    0.1427,    0.0000,    0.0812,    0.0000,    0.1666,    0.0000,    0.1376,    0.0974,    0.1576,    0.1284,    0.1331,    0.1034,    0.1912,    0.1001,    0.2111,       NaN,    0.1899,       NaN,    0.1884,    0.0940,    0.2111,       NaN,    0.1884,       NaN,    0.0575,    0.0000,    0.1826,    0.0000,     -----,
        11,    0.0000,    0.5583,    0.0000,    0.6046,    0.0000,    0.5018,    0.1766,    0.6241,    0.1743,    0.6589,    0.1765,    0.5799,    0.0000,    0.5350,    0.1767,    0.0000,    0.0000,    0.5953,    0.1789,    0.0000,    0.0877,    1.0000,    0.0802,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1273,    0.1390,    0.0719,    0.0950,    0.1500,    0.1560,    0.1239,    0.0000,    0.0700,    0.0000,    0.1463,    0.0000,    0.1237,    0.0000,    0.0688,    0.0000,    0.1443,    0.0000,    0.1316,    0.1367,    0.1497,    0.2316,    0.1299,    0.1218,    0.1991,    0.1323,    0.2120,       NaN,    0.1996,       NaN,    0.1959,    0.1364,    0.1984,       NaN,    0.1936,       NaN,    0.0626,    0.0000,    0.1930,    0.0000,     -----,
        12,    0.0000,    0.5758,    0.0000,    0.6891,    0.0000,    0.4798,    0.1772,    0.6394,    0.1768,    0.7245,    0.1776,    0.5650,    0.0000,    0.5271,    0.1752,    0.0000,    0.0000,    0.5829,    0.1795,    0.0000,    0.0702,    1.0000,    0.0642,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1111,    0.1200,    0.0620,    0.0730,    0.1311,    0.1370,    0.1076,    0.0000,    0.0600,    0.0000,    0.1272,    0.0000,    0.1076,    0.0000,    0.0596,    0.0000,    0.1256,    0.0000,    0.1276,    0.1333,    0.1378,    0.2603,    0.1266,    0.0876,    0.2111,    0.1078,    0.2269,       NaN,    0.2129,       NaN,    0.2136,    0.1386,    0.2204,       NaN,    0.2032,       NaN,    0.0675,    0.0000,    0.2028,    0.2968,     -----,
