  
  
 =============================================================
 ==, rho_p:  0.998288810253143      ==,sigma:  2.100024838000536E-003
 -------------------------------------------------------------
     grid,stat dist,  1 trans,  2 trans,  3 trans,  4 trans,  5 trans,  6 trans,  7 trans,  8 trans,  9 trans, 10 trans, 11 trans, 12 trans, 13 trans, 14 trans, 15 trans, 16 trans, 17 trans, 18 trans, 19 trans, 20 trans,
   0.8979,   0.0619,   0.9955,   0.0045,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9081,   0.0115,   0.0241,   0.9373,   0.0386,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9185,   0.0180,   0.0000,   0.0248,   0.9375,   0.0377,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9289,   0.0265,   0.0000,   0.0000,   0.0256,   0.9377,   0.0367,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9395,   0.0369,   0.0000,   0.0000,   0.0000,   0.0263,   0.9379,   0.0357,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9502,   0.0486,   0.0000,   0.0000,   0.0000,   0.0000,   0.0271,   0.9381,   0.0348,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9611,   0.0606,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0279,   0.9382,   0.0339,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9720,   0.0716,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0287,   0.9383,   0.0330,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9831,   0.0800,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0295,   0.9384,   0.0321,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9943,   0.0845,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0304,   0.9384,   0.0312,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0057,   0.0845,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0312,   0.9384,   0.0304,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0172,   0.0800,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0321,   0.9384,   0.0295,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0288,   0.0716,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0330,   0.9383,   0.0287,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0405,   0.0606,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0339,   0.9382,   0.0279,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0524,   0.0486,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0348,   0.9381,   0.0271,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0644,   0.0369,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0357,   0.9379,   0.0263,   0.0000,   0.0000,   0.0000,
