             p_index,             x_index,             z_index,             p_level,             x_level,             z_level,                prod,                wage,               pdist,               zdist,            epz_dist,      epz_dist_young,      epz_dist_prime,          epz_dist_x,    epz_dist_young_x,    epz_dist_prime_x,            upz_dist,      upz_dist_young,      upz_dist_prime,          upz_dist_x,    upz_dist_young_x,    upz_dist_prime_x,             up_dist,          uallp_dist,       up_dist_young,       up_dist_prime,      up_search_dist,up_search_dist_young,up_search_dist_prime,        up_rest_dist,  up_rest_dist_young,  up_rest_dist_prime,       up_reall_dist, up_reall_dist_young, up_reall_dist_prime,      e_dist_e1yb4_x,    sep_dist_e1yb4_x,          z_r_binary,          z_s_binary,            z_r_func,            z_s_func,,
   1,   1,   1,    0.897863,    1.000000,    0.286728,    0.257442,    0.301357,    0.116653,    0.005457,    0.000012,    0.000018,    0.000012,    0.000000,    0.000000,    0.000000,    0.005122,    0.004422,    0.005199,    0.000831,    0.002906,    0.000429,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    1.000000,    0.000000,    0.000000,    0.000000,,
   1,   1,   2,    0.897863,    1.000000,    0.292316,    0.262460,    0.304610,    0.116653,    0.001694,    0.000014,    0.000019,    0.000017,    0.000000,    0.000000,    0.000000,    0.001588,    0.001355,    0.001605,    0.000257,    0.000907,    0.000137,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,,
   1,   1,   3,    0.897863,    1.000000,    0.297962,    0.267529,    0.307894,    0.116653,    0.001532,    0.000020,    0.000028,    0.000017,    0.000000,    0.000000,    0.000000,    0.001408,    0.001208,    0.001406,    0.000231,    0.000827,    0.000118,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,,
   1,   1,   4,    0.897863,    1.000000,    0.303666,    0.272650,    0.311211,    0.116653,    0.001404,    0.000035,    0.000049,    0.000037,    0.000000,    0.000000,    0.000000,    0.001267,    0.001096,    0.001274,    0.000212,    0.000752,    0.000102,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,,
   1,   1,   5,    0.897863,    1.000000,    0.309428,    0.277824,    0.314564,    0.116653,    0.001343,    0.000061,    0.000085,    0.000062,    0.000000,    0.000000,    0.000000,    0.001195,    0.001030,    0.001196,    0.000201,    0.000728,    0.000100,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,,
   1,   1,   6,    0.897863,    1.000000,    0.315249,    0.283051,    0.317952,    0.116653,    0.001351,    0.000077,    0.000111,    0.000077,    0.000000,    0.000000,    0.000000,    0.001169,    0.001013,    0.001195,    0.000201,    0.000713,    0.000105,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,,
   1,   1,   7,    0.897863,    1.000000,    0.321130,    0.288331,    0.321376,    0.116653,    0.001414,    0.000095,    0.000121,    0.000099,    0.000000,    0.000000,    0.000000,    0.001194,    0.001037,    0.001198,    0.000207,    0.000756,    0.000099,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,,
   1,   1,   8,    0.897863,    1.000000,    0.327072,    0.293666,    0.324838,    0.116653,    0.001517,    0.000122,    0.000169,    0.000129,    0.000000,    0.000000,    0.000000,    0.001246,    0.001094,    0.001261,    0.000221,    0.000807,    0.000110,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,,
   1,   1,   9,    0.897863,    1.000000,    0.333074,    0.299055,    0.328336,    0.116653,    0.001646,    0.000152,    0.000193,    0.000162,    0.000000,    0.000000,    0.000000,    0.001310,    0.001164,    0.001311,    0.000235,    0.000862,    0.000114,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,,
   1,   1,  10,    0.897863,    1.000000,    0.339138,    0.304499,    0.331871,    0.116653,    0.001794,    0.000193,    0.000251,    0.000195,    0.000000,    0.000000,    0.000000,    0.001396,    0.001273,    0.001378,    0.000261,    0.000969,    0.000122,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,,
