     month,   cmdur_m,   cmdur_d,  cmdury_m,  cmdury_d,  cmdurp_m,  cmdurp_d,    mdur_m,    mdur_d,   mdury_m,   mdury_d,   mdurp_m,   mdurp_d,badcmdur_m,badcmdur_d, badmdur_m, badmdur_d, gdcmdur_m, gdcmdur_d,  gdmdur_m,  gdmdur_d,badnspel_m,badnspel_d, gdnspel_m, gdnspel_d,badcm_lb_d,badcm_ub_d, gdcm_lb_d, gdcm_ub_d,    surv_m,    surv_d,   survy_m,   survy_d,   survp_m,   survp_d,  stsurv_m,  stsurv_d, stsurvy_m, stsurvy_d, stsurvp_m, stsurvp_d,  mvsurv_m,  mvsurv_d, mvsurvy_m, mvsurvy_d, mvsurvp_m, mvsurvp_d,     haz_m,     haz_d,    hazy_m,    hazy_d,    hazp_m,    hazp_d,   sthaz_m,   sthaz_d,  sthazy_m,  sthazy_d,  sthazp_m,  sthazp_d,   mvhaz_m,   mvhaz_d,  mvhazy_m,  mvhazy_d,  mvhazp_m,  mvhazp_d,sepallyr_m,sepallyr_d,seprhire_m,seprhire_d,     -----,
         1,    0.0000,    0.4446,    0.0000,    0.5256,    0.0000,    0.3972,    0.1755,    0.5316,    0.1765,    0.5958,    0.1742,    0.4941,    0.0000,    0.4329,    0.1752,    0.0000,    0.0000,    0.4593,    0.1757,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.2420,    1.0000,    0.3030,    1.0000,    0.2230,    0.3012,    0.2468,    0.3186,       NaN,    0.2960,       NaN,    0.3031,    0.2328,    0.3181,       NaN,    0.2970,       NaN,    0.0060,    0.0000,    0.0197,    0.0000,     -----,
         2,    0.0000,    0.4608,    0.0000,    0.5395,    0.0000,    0.4191,    0.1751,    0.5456,    0.1766,    0.6079,    0.1740,    0.5128,    0.0000,    0.4456,    0.1746,    0.0000,    0.0000,    0.4850,    0.1748,    0.0000,    0.7216,    1.0000,    0.6726,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.7152,    0.7580,    0.7010,    0.6970,    0.7200,    0.7770,    0.7134,    0.0000,    0.6980,    0.0000,    0.7181,    0.0000,    0.7117,    0.0000,    0.6987,    0.0000,    0.7174,    0.0000,    0.2848,    0.2216,    0.2990,    0.2712,    0.2800,    0.2111,    0.2622,    0.2411,    0.2800,       NaN,    0.2571,       NaN,    0.2647,    0.2104,    0.2825,       NaN,    0.2565,       NaN,    0.0119,    0.0000,    0.0786,    0.0000,     -----,
         3,    0.0000,    0.4711,    0.0000,    0.5300,    0.0000,    0.4401,    0.1746,    0.5542,    0.1761,    0.6007,    0.1741,    0.5298,    0.0000,    0.4582,    0.1742,    0.0000,    0.0000,    0.5077,    0.1738,    0.0000,    0.5424,    1.0000,    0.4845,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.5419,    0.5900,    0.5215,    0.5080,    0.5490,    0.6130,    0.5391,    0.0000,    0.5171,    0.0000,    0.5458,    0.0000,    0.5363,    0.0000,    0.5163,    0.0000,    0.5458,    0.0000,    0.2423,    0.2254,    0.2560,    0.2500,    0.2375,    0.2088,    0.2342,    0.2498,    0.2508,       NaN,    0.2310,       NaN,    0.2358,    0.2014,    0.2487,       NaN,    0.2318,       NaN,    0.0173,    0.0000,    0.1161,    0.0000,     -----,
         4,    0.0000,    0.4975,    0.0000,    0.5461,    0.0000,    0.4720,    0.1743,    0.5756,    0.1765,    0.6132,    0.1739,    0.5558,    0.0000,    0.4707,    0.1748,    0.0000,    0.0000,    0.5260,    0.1722,    0.0000,    0.4196,    1.0000,    0.3659,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.4278,    0.4570,    0.4062,    0.3810,    0.4347,    0.4850,    0.4242,    0.0000,    0.4004,    0.0000,    0.4307,    0.0000,    0.4214,    0.0000,    0.4010,    0.0000,    0.4305,    0.0000,    0.2106,    0.2188,    0.2212,    0.2493,    0.2082,    0.2186,    0.2114,    0.2036,    0.2239,       NaN,    0.2081,       NaN,    0.2132,    0.2272,    0.2224,       NaN,    0.2098,       NaN,    0.0226,    0.0000,    0.1437,    0.0000,     -----,
         5,    0.0000,    0.5109,    0.0000,    0.5740,    0.0000,    0.4804,    0.1740,    0.5861,    0.1768,    0.6351,    0.1736,    0.5625,    0.0000,    0.4833,    0.1750,    0.0000,    0.0000,    0.5421,    0.1724,    0.0000,    0.3330,    1.0000,    0.2868,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.3490,    0.3570,    0.3289,    0.2860,    0.3554,    0.3790,    0.3448,    0.0000,    0.3224,    0.0000,    0.3510,    0.0000,    0.3421,    0.0000,    0.3236,    0.0000,    0.3503,    0.0000,    0.1844,    0.1793,    0.1902,    0.2203,    0.1824,    0.1398,    0.1980,    0.2102,    0.2066,       NaN,    0.1955,       NaN,    0.1952,    0.1511,    0.2010,       NaN,    0.1913,       NaN,    0.0276,    0.0000,    0.1653,    0.0000,     -----,
         6,    0.0000,    0.5176,    0.0000,    0.5864,    0.0000,    0.4855,    0.1745,    0.5915,    0.1778,    0.6448,    0.1744,    0.5665,    0.0000,    0.4960,    0.1759,    0.0000,    0.0000,    0.5567,    0.1728,    0.0000,    0.2674,    1.0000,    0.2295,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.2909,    0.2930,    0.2738,    0.2230,    0.2968,    0.3260,    0.2861,    0.0000,    0.2665,    0.0000,    0.2917,    0.0000,    0.2849,    0.0000,    0.2692,    0.0000,    0.2926,    0.0000,    0.1663,    0.1570,    0.1676,    0.1300,    0.1650,    0.1718,    0.1869,    0.1787,    0.1910,       NaN,    0.1859,       NaN,    0.1886,    0.1377,    0.1952,       NaN,    0.1865,       NaN,    0.0325,    0.0000,    0.1831,    0.0000,     -----,
         7,    0.0000,    0.5227,    0.0000,    0.5905,    0.0000,    0.4927,    0.1742,    0.5960,    0.1770,    0.6485,    0.1743,    0.5724,    0.0000,    0.5090,    0.1759,    0.0000,    0.0000,    0.5692,    0.1723,    0.0000,    0.2168,    1.0000,    0.1869,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.2468,    0.2470,    0.2329,    0.1940,    0.2517,    0.2700,    0.2417,    0.0000,    0.2255,    0.0000,    0.2464,    0.0000,    0.2404,    0.0000,    0.2269,    0.0000,    0.2470,    0.0000,    0.1517,    0.1579,    0.1493,    0.1959,    0.1520,    0.1333,    0.1817,    0.1467,    0.1854,       NaN,    0.1803,       NaN,    0.1875,    0.1604,    0.1896,       NaN,    0.1880,       NaN,    0.0373,    0.0000,    0.1986,    0.0000,     -----,
         8,    0.0000,    0.5343,    0.0000,    0.6169,    0.0000,    0.4871,    0.1732,    0.6051,    0.1763,    0.6687,    0.1729,    0.5680,    0.0000,    0.5213,    0.1749,    0.0000,    0.0000,    0.5802,    0.1709,    0.0000,    0.1769,    1.0000,    0.1525,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.2118,    0.2080,    0.2009,    0.1560,    0.2158,    0.2340,    0.2066,    0.0000,    0.1934,    0.0000,    0.2106,    0.0000,    0.2045,    0.0000,    0.1939,    0.0000,    0.2097,    0.0000,    0.1419,    0.1442,    0.1377,    0.1859,    0.1425,    0.1325,    0.1822,    0.1735,    0.1818,       NaN,    0.1839,       NaN,    0.1820,    0.1201,    0.1908,       NaN,    0.1814,       NaN,    0.0420,    0.0000,    0.2120,    0.0000,     -----,
         9,    0.0000,    0.5465,    0.0000,    0.6177,    0.0000,    0.4993,    0.1732,    0.6153,    0.1747,    0.6690,    0.1734,    0.5786,    0.0000,    0.5312,    0.1755,    0.0000,    0.0000,    0.5901,    0.1709,    0.0000,    0.1443,    1.0000,    0.1250,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1832,    0.1780,    0.1751,    0.1270,    0.1861,    0.2030,    0.1778,    0.0000,    0.1676,    0.0000,    0.1806,    0.0000,    0.1762,    0.0000,    0.1670,    0.0000,    0.1804,    0.0000,    0.1349,    0.1348,    0.1282,    0.1417,    0.1375,    0.1429,    0.1823,    0.1178,    0.1825,       NaN,    0.1795,       NaN,    0.1868,    0.1474,    0.1887,       NaN,    0.1870,       NaN,    0.0466,    0.0000,    0.2238,    0.0000,     -----,
        10,    0.0000,    0.5561,    0.0000,    0.6308,    0.0000,    0.4986,    0.1724,    0.6223,    0.1736,    0.6790,    0.1721,    0.5773,    0.0000,    0.5366,    0.1730,    0.0000,    0.0000,    0.5970,    0.1697,    0.0000,    0.1180,    1.0000,    0.1025,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1597,    0.1540,    0.1541,    0.1090,    0.1623,    0.1740,    0.1543,    0.0000,    0.1465,    0.0000,    0.1568,    0.0000,    0.1525,    0.0000,    0.1455,    0.0000,    0.1558,    0.0000,    0.1282,    0.0974,    0.1202,    0.1284,    0.1282,    0.1034,    0.1898,    0.1001,    0.1903,       NaN,    0.1914,       NaN,    0.1868,    0.0940,    0.1950,       NaN,    0.1839,       NaN,    0.0512,    0.0000,    0.2346,    0.0000,     -----,
        11,    0.0000,    0.5583,    0.0000,    0.6046,    0.0000,    0.5018,    0.1729,    0.6241,    0.1728,    0.6589,    0.1734,    0.5799,    0.0000,    0.5350,    0.1742,    0.0000,    0.0000,    0.5953,    0.1692,    0.0000,    0.0955,    1.0000,    0.0833,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1399,    0.1390,    0.1362,    0.0950,    0.1417,    0.1560,    0.1342,    0.0000,    0.1285,    0.0000,    0.1359,    0.0000,    0.1332,    0.0000,    0.1274,    0.0000,    0.1360,    0.0000,    0.1241,    0.1367,    0.1161,    0.2316,    0.1268,    0.1218,    0.1969,    0.1323,    0.1967,       NaN,    0.1958,       NaN,    0.1944,    0.1364,    0.1993,       NaN,    0.2024,       NaN,    0.0556,    0.0000,    0.2444,    0.0000,     -----,
        12,    0.0000,    0.5758,    0.0000,    0.6891,    0.0000,    0.4798,    0.1734,    0.6394,    0.1723,    0.7245,    0.1722,    0.5650,    0.0000,    0.5271,    0.1731,    0.0000,    0.0000,    0.5829,    0.1721,    0.0000,    0.0768,    1.0000,    0.0667,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1232,    0.1200,    0.1212,    0.0730,    0.1244,    0.1370,    0.1173,    0.0000,    0.1135,    0.0000,    0.1187,    0.0000,    0.1168,    0.0000,    0.1126,    0.0000,    0.1183,    0.0000,    0.1193,    0.1333,    0.1097,    0.2603,    0.1219,    0.0876,    0.2054,    0.1078,    0.2058,       NaN,    0.2058,       NaN,    0.2121,    0.1386,    0.2137,       NaN,    0.2054,       NaN,    0.0600,    0.0000,    0.2533,    0.2968,     -----,
        13,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1722,    0.0000,    0.1709,    0.0000,    0.1723,    0.0000,    0.0000,    0.0000,    0.1709,    0.0000,    0.0000,    0.0000,    0.1745,    0.0000,    0.0607,    1.0000,    0.0535,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1091,    0.1040,    0.1086,    0.0540,    0.1100,    0.1250,    0.1032,    0.0000,    0.1008,    0.0000,    0.1041,    0.0000,    0.1024,    0.0000,    0.0998,    0.0000,    0.1039,    0.0000,    0.1144,    0.1058,    0.1039,    0.1296,    0.1162,    0.1200,    0.2295,    0.1219,    0.2216,       NaN,    0.2284,       NaN,    0.2312,    0.1024,    0.2344,       NaN,    0.2214,       NaN,          ,          ,          ,          ,     -----,
        14,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1719,    0.0000,    0.1685,    0.0000,    0.1736,    0.0000,    0.0000,    0.0000,    0.1698,    0.0000,    0.0000,    0.0000,    0.1752,    0.0000,    0.0464,    1.0000,    0.0418,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0967,    0.0930,    0.0978,    0.0470,    0.0973,    0.1100,    0.0906,    0.0000,    0.0900,    0.0000,    0.0912,    0.0000,    0.0901,    0.0000,    0.0888,    0.0000,    0.0917,    0.0000,    0.1141,    0.1290,    0.0993,    0.1277,    0.1153,    0.1182,    0.2538,    0.1174,    0.2469,       NaN,    0.2540,       NaN,    0.2626,    0.1467,    0.2593,       NaN,    0.2561,       NaN,          ,          ,          ,          ,     -----,
        15,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1702,    0.0000,    0.1662,    0.0000,    0.1732,    0.0000,    0.0000,    0.0000,    0.1666,    0.0000,    0.0000,    0.0000,    0.1728,    0.0000,    0.0344,    1.0000,    0.0315,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0860,    0.0810,    0.0885,    0.0410,    0.0863,    0.0970,    0.0800,    0.0000,    0.0806,    0.0000,    0.0802,    0.0000,    0.0793,    0.0000,    0.0795,    0.0000,    0.0806,    0.0000,    0.1102,    0.0617,    0.0952,    0.0732,    0.1128,    0.0722,    0.3025,    0.0645,    0.2989,       NaN,    0.3000,       NaN,    0.2923,    0.0539,    0.2858,       NaN,    0.2658,       NaN,          ,          ,          ,          ,     -----,
        16,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1723,    0.0000,    0.1688,    0.0000,    0.1801,    0.0000,    0.0000,    0.0000,    0.1656,    0.0000,    0.0000,    0.0000,    0.1771,    0.0000,    0.0237,    1.0000,    0.0222,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0767,    0.0760,    0.0802,    0.0380,    0.0768,    0.0900,    0.0705,    0.0000,    0.0720,    0.0000,    0.0704,    0.0000,    0.0705,    0.0000,    0.0719,    0.0000,    0.0720,    0.0000,    0.1087,    0.0921,    0.0943,    0.1316,    0.1097,    0.0778,    0.3789,    0.0948,    0.3718,       NaN,    0.3792,       NaN,    0.3744,    0.0962,    0.3687,       NaN,    0.3745,       NaN,          ,          ,          ,          ,     -----,
        17,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1733,    0.0000,    0.1695,    0.0000,    0.1812,    0.0000,    0.0000,    0.0000,    0.1673,    0.0000,    0.0000,    0.0000,    0.1803,    0.0000,    0.0147,    1.0000,    0.0137,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0685,    0.0690,    0.0729,    0.0330,    0.0682,    0.0830,    0.0622,    0.0000,    0.0645,    0.0000,    0.0619,    0.0000,    0.0625,    0.0000,    0.0649,    0.0000,    0.0632,    0.0000,    0.1072,    0.0870,    0.0914,    0.0606,    0.1120,    0.1084,    0.5339,    0.1111,    0.5481,       NaN,    0.5441,       NaN,    0.5227,    0.0736,    0.5490,       NaN,    0.5041,       NaN,          ,          ,          ,          ,     -----,
        18,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1767,    0.0000,    0.1692,    0.0000,    0.1940,    0.0000,    0.0000,    0.0000,    0.1726,    0.0000,    0.0000,    0.0000,    0.1836,    0.0000,    0.0069,    1.0000,    0.0065,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0613,    0.0630,    0.0660,    0.0310,    0.0607,    0.0740,    0.0549,    0.0000,    0.0576,    0.0000,    0.0542,    0.0000,    0.0555,    0.0000,    0.0583,    0.0000,    0.0558,    0.0000,    0.1050,    0.0952,    0.0935,    0.2065,    0.1113,    0.0811,    1.0000,    0.0679,    1.0000,       NaN,    1.0000,       NaN,    1.0000,    0.1277,    1.0000,       NaN,    1.0000,       NaN,          ,          ,          ,          ,     -----,
        19,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,    0.0549,    0.0570,    0.0604,    0.0246,    0.0541,    0.0680,    0.0485,    0.0000,    0.0519,    0.0000,    0.0478,    0.0000,    0.0491,    0.0000,    0.0528,    0.0000,    0.0484,    0.0000,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,     -----,
