  
  
 =============================================================
 ==, rho_p:  0.996653497219086      ==,sigma:  1.769287860952318E-003
 -------------------------------------------------------------
     grid,stat dist,  1 trans,  2 trans,  3 trans,  4 trans,  5 trans,  6 trans,  7 trans,  8 trans,  9 trans, 10 trans, 11 trans, 12 trans, 13 trans, 14 trans, 15 trans, 16 trans, 17 trans, 18 trans, 19 trans, 20 trans,
   0.9371,   0.0153,   0.9682,   0.0318,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9436,   0.0113,   0.0429,   0.8857,   0.0714,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9500,   0.0182,   0.0000,   0.0443,   0.8862,   0.0694,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9565,   0.0276,   0.0000,   0.0000,   0.0458,   0.8867,   0.0675,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9631,   0.0395,   0.0000,   0.0000,   0.0000,   0.0473,   0.8871,   0.0657,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9697,   0.0531,   0.0000,   0.0000,   0.0000,   0.0000,   0.0488,   0.8874,   0.0638,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9764,   0.0674,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0503,   0.8877,   0.0620,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9831,   0.0806,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0519,   0.8879,   0.0602,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9898,   0.0908,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0535,   0.8880,   0.0585,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9966,   0.0963,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0551,   0.8881,   0.0568,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0034,   0.0963,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0568,   0.8881,   0.0551,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0103,   0.0908,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0585,   0.8880,   0.0535,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0172,   0.0806,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0602,   0.8879,   0.0519,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0242,   0.0674,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0620,   0.8877,   0.0503,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0312,   0.0531,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0638,   0.8874,   0.0488,   0.0000,   0.0000,   0.0000,   0.0000,
   1.0383,   0.0395,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0657,   0.8871,   0.0473,   0.0000,   0.0000,   0.0000,
   1.0454,   0.0276,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0675,   0.8867,   0.0458,   0.0000,   0.0000,
   1.0526,   0.0182,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0694,   0.8862,   0.0443,   0.0000,
   1.0598,   0.0113,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0714,   0.8857,   0.0429,
   1.0671,   0.0153,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0318,   0.9682,
 long run average aggregate productivity is    1.00038373368843     
