     month,   cmdur_m,   cmdur_d,  cmdury_m,  cmdury_d,  cmdurp_m,  cmdurp_d,    mdur_m,    mdur_d,   mdury_m,   mdury_d,   mdurp_m,   mdurp_d,badcmdur_m,badcmdur_d, badmdur_m, badmdur_d, gdcmdur_m, gdcmdur_d,  gdmdur_m,  gdmdur_d,badnspel_m,badnspel_d, gdnspel_m, gdnspel_d,badcm_lb_d,badcm_ub_d, gdcm_lb_d, gdcm_ub_d,    surv_m,    surv_d,   survy_m,   survy_d,   survp_m,   survp_d,  stsurv_m,  stsurv_d, stsurvy_m, stsurvy_d, stsurvp_m, stsurvp_d,  mvsurv_m,  mvsurv_d, mvsurvy_m, mvsurvy_d, mvsurvp_m, mvsurvp_d,     haz_m,     haz_d,    hazy_m,    hazy_d,    hazp_m,    hazp_d,   sthaz_m,   sthaz_d,  sthazy_m,  sthazy_d,  sthazp_m,  sthazp_d,   mvhaz_m,   mvhaz_d,  mvhazy_m,  mvhazy_d,  mvhazp_m,  mvhazp_d,sepallyr_m,sepallyr_d,seprhire_m,seprhire_d,     -----,
         1,    0.3670,    0.4446,    0.4353,    0.5256,    0.3313,    0.3972,    0.4870,    0.5316,    0.5428,    0.5958,    0.4582,    0.4941,    0.3147,    0.4329,    0.4445,    0.0000,    0.4412,    0.4593,    0.5464,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.2420,    1.0000,    0.3030,    1.0000,    0.2230,    0.3267,    0.2468,    0.3524,       NaN,    0.3187,       NaN,    0.2096,    0.2328,    0.2273,       NaN,    0.1985,       NaN,    0.0070,    0.0000,    0.0327,    0.0000,     -----,
         2,    0.4165,    0.4608,    0.4896,    0.5395,    0.3802,    0.4191,    0.5270,    0.5456,    0.5862,    0.6079,    0.4987,    0.5128,    0.3679,    0.4456,    0.4879,    0.0000,    0.4943,    0.4850,    0.5895,    0.0000,    0.7111,    1.0000,    0.6142,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.7449,    0.7580,    0.7227,    0.6970,    0.7540,    0.7770,    0.6832,    0.0000,    0.6513,    0.0000,    0.6931,    0.0000,    0.8032,    0.0000,    0.7798,    0.0000,    0.8169,    0.0000,    0.2551,    0.2216,    0.2773,    0.2712,    0.2460,    0.2111,    0.2866,    0.2411,    0.3214,       NaN,    0.2715,       NaN,    0.2042,    0.2104,    0.2321,       NaN,    0.1898,       NaN,    0.0136,    0.0000,    0.1279,    0.0000,     -----,
         3,    0.4501,    0.4711,    0.5271,    0.5300,    0.4135,    0.4401,    0.5542,    0.5542,    0.6158,    0.6007,    0.5252,    0.5298,    0.4068,    0.4582,    0.5191,    0.0000,    0.5277,    0.5077,    0.6168,    0.0000,    0.5276,    1.0000,    0.4052,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.5768,    0.5900,    0.5349,    0.5080,    0.5953,    0.6130,    0.4961,    0.0000,    0.4454,    0.0000,    0.5149,    0.0000,    0.6517,    0.0000,    0.6060,    0.0000,    0.6765,    0.0000,    0.2257,    0.2254,    0.2599,    0.2500,    0.2105,    0.2088,    0.2548,    0.2498,    0.2936,       NaN,    0.2383,       NaN,    0.1973,    0.2014,    0.2233,       NaN,    0.1856,       NaN,    0.0196,    0.0000,    0.1872,    0.0000,     -----,
         4,    0.4733,    0.4975,    0.5541,    0.5461,    0.4357,    0.4720,    0.5725,    0.5756,    0.6380,    0.6132,    0.5419,    0.5558,    0.4342,    0.4707,    0.5415,    0.0000,    0.5460,    0.5260,    0.6309,    0.0000,    0.4006,    1.0000,    0.2859,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.4601,    0.4570,    0.4072,    0.3810,    0.4839,    0.4850,    0.3774,    0.0000,    0.3178,    0.0000,    0.4010,    0.0000,    0.5352,    0.0000,    0.4777,    0.0000,    0.5653,    0.0000,    0.2023,    0.2188,    0.2388,    0.2493,    0.1872,    0.2186,    0.2389,    0.2036,    0.2721,       NaN,    0.2250,       NaN,    0.1879,    0.2272,    0.2181,       NaN,    0.1764,       NaN,    0.0251,    0.0000,    0.2301,    0.0000,     -----,
         5,    0.4919,    0.5109,    0.5729,    0.5740,    0.4540,    0.4804,    0.5883,    0.5861,    0.6544,    0.6351,    0.5569,    0.5625,    0.4574,    0.4833,    0.5616,    0.0000,    0.5597,    0.5421,    0.6412,    0.0000,    0.3083,    1.0000,    0.2095,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.3747,    0.3570,    0.3162,    0.2860,    0.4008,    0.3790,    0.2945,    0.0000,    0.2343,    0.0000,    0.3191,    0.0000,    0.4461,    0.0000,    0.3803,    0.0000,    0.4792,    0.0000,    0.1856,    0.1793,    0.2235,    0.2203,    0.1717,    0.1398,    0.2196,    0.2102,    0.2584,       NaN,    0.2113,       NaN,    0.1855,    0.1511,    0.2154,       NaN,    0.1722,       NaN,    0.0303,    0.0000,    0.2633,    0.0000,     -----,
         6,    0.5059,    0.5176,    0.5911,    0.5864,    0.4682,    0.4855,    0.5986,    0.5915,    0.6670,    0.6448,    0.5688,    0.5665,    0.4759,    0.4960,    0.5754,    0.0000,    0.5684,    0.5567,    0.6489,    0.0000,    0.2430,    1.0000,    0.1574,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.3105,    0.2930,    0.2489,    0.2230,    0.3372,    0.3260,    0.2364,    0.0000,    0.1765,    0.0000,    0.2595,    0.0000,    0.3747,    0.0000,    0.3051,    0.0000,    0.4100,    0.0000,    0.1714,    0.1570,    0.2127,    0.1300,    0.1585,    0.1718,    0.2131,    0.1787,    0.2540,       NaN,    0.1971,       NaN,    0.1811,    0.1377,    0.2106,       NaN,    0.1665,       NaN,    0.0353,    0.0000,    0.2903,    0.0000,     -----,
         7,    0.5168,    0.5227,    0.6064,    0.5905,    0.4809,    0.4927,    0.6081,    0.5960,    0.6795,    0.6485,    0.5779,    0.5724,    0.4902,    0.5090,    0.5880,    0.0000,    0.5789,    0.5692,    0.6575,    0.0000,    0.1941,    1.0000,    0.1193,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.2605,    0.2470,    0.1983,    0.1940,    0.2883,    0.2700,    0.1925,    0.0000,    0.1344,    0.0000,    0.2157,    0.0000,    0.3179,    0.0000,    0.2474,    0.0000,    0.3546,    0.0000,    0.1611,    0.1579,    0.2033,    0.1959,    0.1450,    0.1333,    0.2052,    0.1467,    0.2410,       NaN,    0.1970,       NaN,    0.1858,    0.1604,    0.2142,       NaN,    0.1776,       NaN,    0.0400,    0.0000,    0.3132,    0.0000,     -----,
         8,    0.5242,    0.5343,    0.6177,    0.6169,    0.4867,    0.4871,    0.6139,    0.6051,    0.6870,    0.6687,    0.5838,    0.5680,    0.4990,    0.5213,    0.5924,    0.0000,    0.5872,    0.5802,    0.6649,    0.0000,    0.1573,    1.0000,    0.0903,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.2202,    0.2080,    0.1594,    0.1560,    0.2468,    0.2340,    0.1592,    0.0000,    0.1046,    0.0000,    0.1805,    0.0000,    0.2702,    0.0000,    0.2011,    0.0000,    0.3054,    0.0000,    0.1545,    0.1442,    0.1964,    0.1859,    0.1440,    0.1325,    0.2020,    0.1735,    0.2356,       NaN,    0.1960,       NaN,    0.1844,    0.1201,    0.2084,       NaN,    0.1806,       NaN,    0.0446,    0.0000,    0.3330,    0.0000,     -----,
         9,    0.5315,    0.5465,    0.6253,    0.6177,    0.4951,    0.4993,    0.6190,    0.6153,    0.6944,    0.6690,    0.5884,    0.5786,    0.5046,    0.5312,    0.5963,    0.0000,    0.5990,    0.5901,    0.6742,    0.0000,    0.1273,    1.0000,    0.0686,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1882,    0.1780,    0.1300,    0.1270,    0.2129,    0.2030,    0.1332,    0.0000,    0.0825,    0.0000,    0.1523,    0.0000,    0.2316,    0.0000,    0.1657,    0.0000,    0.2642,    0.0000,    0.1455,    0.1348,    0.1844,    0.1417,    0.1375,    0.1429,    0.2000,    0.1178,    0.2315,       NaN,    0.1885,       NaN,    0.1841,    0.1474,    0.2054,       NaN,    0.1830,       NaN,    0.0490,    0.0000,    0.3495,    0.0000,     -----,
        10,    0.5370,    0.5561,    0.6339,    0.6308,    0.4957,    0.4986,    0.6237,    0.6223,    0.7015,    0.6790,    0.5900,    0.5773,    0.5079,    0.5366,    0.5997,    0.0000,    0.5998,    0.5970,    0.6724,    0.0000,    0.1022,    1.0000,    0.0543,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.1624,    0.1540,    0.1073,    0.1090,    0.1856,    0.1740,    0.1126,    0.0000,    0.0659,    0.0000,    0.1306,    0.0000,    0.2002,    0.0000,    0.1381,    0.0000,    0.2300,    0.0000,    0.1372,    0.0974,    0.1748,    0.1284,    0.1284,    0.1034,    0.2022,    0.1001,    0.2422,       NaN,    0.1841,       NaN,    0.1921,    0.0940,    0.2124,       NaN,    0.1979,       NaN,    0.0533,    0.0000,    0.3639,    0.0000,     -----,
