  
  
 =============================================================
 ==, rho_p:  0.997403562068939      ==,sigma:  1.881563803181052E-003
 -------------------------------------------------------------
     grid,stat dist,  1 trans,  2 trans,  3 trans,  4 trans,  5 trans,  6 trans,  7 trans,  8 trans,  9 trans, 10 trans, 11 trans, 12 trans, 13 trans, 14 trans, 15 trans, 16 trans, 17 trans, 18 trans, 19 trans, 20 trans,
   0.9246,   0.0167,   0.9753,   0.0247,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9323,   0.0119,   0.0347,   0.9086,   0.0567,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9400,   0.0189,   0.0000,   0.0358,   0.9090,   0.0552,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9478,   0.0282,   0.0000,   0.0000,   0.0369,   0.9093,   0.0538,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9556,   0.0399,   0.0000,   0.0000,   0.0000,   0.0380,   0.9096,   0.0523,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9636,   0.0533,   0.0000,   0.0000,   0.0000,   0.0000,   0.0392,   0.9099,   0.0509,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9715,   0.0671,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0404,   0.9101,   0.0495,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9796,   0.0797,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0416,   0.9102,   0.0481,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9877,   0.0895,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0429,   0.9103,   0.0468,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
   0.9959,   0.0948,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0442,   0.9104,   0.0455,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,
